brandnm,goodsnm,USER,reg_date,order_date,p_type,sub_type,app_yn
Salvatore Ferragamo,classic chain shoulder bag black,a1141007,1/4/21,1/6/21,4days,BA,Y
Gucci,mammont chain wallet bag black,a1138028,12/19/20,1/6/21,7days,BA,Y
Chanel,pocket basic pattern wool fullzip-jacket grey,a1141288,1/5/21,1/6/21,4days,O,Y
Gucci,mixed pattern knit top multi,a1139436,12/23/20,1/5/21,4days,T,Y
Andersen-Andersen,basic pattern turtle neck sweater black,a1137042,12/14/20,1/5/21,7days,T,Y
Max Mara,strap basic pattern wrap-coat black,a124755,5/19/19,1/5/21,7days,O,Y
A.P.C.,tailored collar coat,a1137121,12/15/20,1/5/21,7days,O,Y
Vivienne Westwood,nappa clasp chain bag,a1137121,12/15/20,1/5/21,7days,BA,Y
Self-portrait,pleats lace pattern H-Line dress white,a1141142,1/5/21,1/5/21,4days,D,Y
Chloe,drew bag beige,a1141010,1/4/21,1/5/21,7days,BA,Y
Gucci,mixed pattern ribbon jacket multi,a1137159,12/15/20,1/5/21,7days,T,Y
Sonia Rykiel,frill detail pleats sleeve dress,a167920,12/22/19,1/5/21,4days,D,Y
Amsale,spangle one shoulder dress salmon,a1140937,1/3/21,1/5/21,4days,D,Y
Diane von Furstenberg,cap sleeve tight dress gold,a1140937,1/3/21,1/5/21,4days,D,Y
Saint Laurent,quilted calfskin shoulder bag,a1139320,12/22/20,1/5/21,7days,BA,Y
Hugo Boss,strap basic pattern coat burgundy,a1139320,12/22/20,1/5/21,7days,O,Y
Givenchy,ribbon basic pattern H-Line dress black,a1139320,12/22/20,1/5/21,7days,D,Y
Max Mara,lace detail crop cardigan black_1,a1119528,9/14/20,1/4/21,4days,T,Y
Christian Dior,oblique jacquard shoulder bag,a1119528,9/14/20,1/4/21,4days,BA,Y
Burberry,belt basic pattern trench-coat red,a1119528,9/14/20,1/4/21,4days,O,Y
Sandro,button stripe pattern shirts skyblue,a1140958,1/3/21,1/4/21,4days,T,
Bottega Veneta,foldover top cross bag black,a134855,7/30/19,1/4/21,4days,BA,Y
Prada,padding two way bag black,a1141018,1/4/21,1/4/21,4days,BA,Y
Christian Dior,silver detailed cross bag black,a120417,4/25/19,1/4/21,7days,BA,Y
Margarin fingers,frill dots pattern blouse black,a1140738,1/1/21,1/3/21,4days,T,Y
Celine,luggage bag black,a1118051,9/6/20,1/3/21,4days,BA,Y
Vivienne Westwood,wave detail cape coat black,a1140877,1/2/21,1/3/21,4days,O,
& Other Stories,button basic pattern blouse black,a1140612,12/30/20,1/3/21,4days,T,
Gucci,marmont gg logo quilted bag Black 4,a1127774,10/30/20,1/3/21,7days,BA,Y
Gucci,sylvie mini chain ribbon bag white,a1138262,12/19/20,1/3/21,4days,BA,Y
Balmain,double button long coat white,a1140621,12/31/20,1/2/21,7days,O,
El estilo de Claire,beads stud velvet jacket black,a196681,4/17/20,1/1/21,4days,O,Y
Baum Und Pferdgarten,geometric pattern A-Line dress purple,a196681,4/17/20,1/1/21,4days,D,Y
BCBG,pleats basic pattern H-Line dress deeppink,a196681,4/17/20,1/1/21,4days,D,Y
Chanel,pocket graphics pattern zipup-jumper navy,a1112031,8/15/20,1/1/21,7days,O,
Lmml Studio,heart pattern quilted skirts,a1140754,1/1/21,1/31/21,4days,B,Y
Christian Dior,graphics pattern cashmere sweater ivory,a1145000,1/31/21,1/31/21,7days,T,Y
Nike,pocket basic pattern fitness-jacket pink,a1142914,1/14/21,1/31/21,7days,O,Y
Gucci,marmont gg logo quilted bag Black 2,a1145022,1/31/21,1/31/21,7days,BA,Y
Yves Saint Laurent,monogram envelope chain cross bag,a1142618,1/13/21,1/31/21,7days,BA,Y
Gucci,mammont tote red,a1144833,1/28/21,1/31/21,4days,BA,Y
Chanel,quilted leather clutch bag,a1144959,1/30/21,1/30/21,7days,BA,Y
Not Your Rose,lace jacquard pattern H-Line dress brown,a1144952,1/30/21,1/30/21,4days,D,Y
Louis Vuitton,logo chain tote bag black,a1144704,1/27/21,1/30/21,4days,BA,Y
Burberry,button basic pattern top black,a1144704,1/27/21,1/30/21,4days,T,Y
Fendi,feminine military blouse & high waist wide slacks,a1144948,1/30/21,1/30/21,4days,TP,Y
Mojosphine,button basic pattern doublebreasted-jacket skyblue & slit basic pattern skirt skyblue,a170041,1/1/20,1/30/21,4days,TP,Y
Burberry,high neck design long coat brown,a187236,3/8/20,1/30/21,7days,O,Y
Diane von Furstenberg,ribbon point wrap dress navy,a1111352,8/13/20,1/30/21,4days,D,Y
Jigott,gather basic pattern H-Line knit-dress khaki,a1111352,8/13/20,1/30/21,4days,D,Y
Saint Laurent,chevron quilted cross bag black,a1144784,1/28/21,1/29/21,7days,BA,Y
